comparison,diag_a,diag_b,n_age_a,n_age_b,age_min_a,age_max_a,age_span_a,age_min_b,age_max_b,age_span_b,overlap_min,overlap_max,overlap_width,overlap_fraction_shorter_span,overlap_fraction_union_span,status
0_vs_1,0,1,26,24,19.0,57.7878165639973,38.7878165639973,15.4,34.7,19.300000000000004,19.0,34.7,15.700000000000003,0.8134715025906736,0.3703894484939104,overlap
0_vs_2,0,2,26,25,19.0,57.7878165639973,38.7878165639973,19.7043121149897,44.6297056810404,24.925393566050698,19.7043121149897,44.6297056810404,24.925393566050698,1.0,0.6426088337539048,overlap
1_vs_2,1,2,24,25,15.4,34.7,19.300000000000004,19.7043121149897,44.6297056810404,24.925393566050698,19.7043121149897,34.7,14.995687885010302,0.7769786468917254,0.5130290413679097,overlap
