comparison,covariate,diag_a,diag_b,difference_direction,n_a,n_b,estimate_a,estimate_b,diff_b_minus_a,sd_a,sd_b,smd,test_name,test_statistic,p_value,sex_1_count_a,sex_0_count_a,sex_1_count_b,sex_0_count_b,posterior_ci_low,posterior_ci_high,posterior_prob_diff_gt_0,posterior_difference_file
0_vs_1,Age,0,1,diag_b_minus_diag_a,26,24,26.24023324382667,22.341090577230208,-3.899142666596461,7.537484321416206,4.1267509275953556,-0.6346096059867411,welch_t_test,2.291739656844988,0.02735200587518827,,,,,-7.345708209162935,-0.4401679957553347,0.01472,posterior_age_diff_0_vs_1.png
0_vs_1,Sex,0,1,diag_b_minus_diag_a,26,24,0.5,0.7916666666666666,0.29166666666666663,,,0.6403450952448875,fisher_exact,0.2631578947368421,0.04204357867963183,13.0,13.0,19.0,5.0,0.020812316099114214,0.5011350675950396,0.98262,posterior_sex_diff_0_vs_1.png
0_vs_2,Age,0,2,diag_b_minus_diag_a,26,25,26.24023324382667,29.650788227241616,3.410554983414947,7.537484321416206,6.692652975126918,0.47792330703051566,welch_t_test,-1.7102432725839598,0.09358553087267589,,,,,-0.6548738149346017,7.47958606711495,0.95146,posterior_age_diff_0_vs_2.png
0_vs_2,Sex,0,2,diag_b_minus_diag_a,26,25,0.5,0.8,0.30000000000000004,,,0.6625891564490793,fisher_exact,0.25,0.03985900190387223,13.0,13.0,20.0,5.0,0.03288589765098383,0.5057365159707383,0.987,posterior_sex_diff_0_vs_2.png
1_vs_2,Age,1,2,diag_b_minus_diag_a,24,25,22.341090577230208,29.650788227241616,7.309697650011408,4.1267509275953556,6.692652975126918,1.3085163425055617,welch_t_test,-4.621902887801749,3.8828874442124614e-05,,,,,4.075994341307788,10.54939092509306,1.0,posterior_age_diff_1_vs_2.png
1_vs_2,Sex,1,2,diag_b_minus_diag_a,24,25,0.7916666666666666,0.8,0.008333333333333415,,,0.020674664714574305,fisher_exact,0.95,1.0,19.0,5.0,20.0,5.0,-0.21168177452107026,0.23111384314420078,0.53188,posterior_sex_diff_1_vs_2.png
