diag,n_total,n_age,age_mean,age_sd,age_median,age_min,age_max,n_sex,sex_1_count,sex_0_count,sex_1_prop,sex_0_prop
0,26,26,26.24023324382667,7.537484321416206,24.2438056125941,19.0,57.7878165639973,26,13,13,0.5,0.5
1,24,24,22.341090577230208,4.1267509275953556,21.64671457905545,15.4,34.7,24,19,5,0.7916666666666666,0.20833333333333334
2,25,25,29.650788227241616,6.692652975126918,31.08,19.7043121149897,44.6297056810404,25,20,5,0.8,0.2
