index	name	color
132	hipp-rh-hippocampus_hippocampal_fissure	#8020ff
133	hipp-rh-hippocampus_tail	#aaaaff
134	vdc-rh-ventraldc	#a52a2a
135	hypo-rh-hypothalamus	#ccb68e
136	cer-rh-cerebellum	#e69422
137	ctx-lh-lateralorbitofrontal_1	#9ace10
138	ctx-lh-lateralorbitofrontal_2	#d36d70
139	ctx-lh-lateralorbitofrontal_3	#1097a5
140	ctx-lh-lateralorbitofrontal_4	#c40ef6
141	ctx-lh-parsorbitalis_1	#3f68ca
142	ctx-lh-frontalpole_1	#b3a111
143	ctx-lh-medialorbitofrontal_1	#1655e6
144	ctx-lh-medialorbitofrontal_2	#17b5fa
145	ctx-lh-medialorbitofrontal_3	#48c20b
146	ctx-lh-parstriangularis_1	#ecb18e
147	ctx-lh-parstriangularis_2	#f0b5fa
148	ctx-lh-parsopercularis_1	#5fb73e
149	ctx-lh-parsopercularis_2	#56841a
150	ctx-lh-rostralmiddlefrontal_1	#7797c0
151	ctx-lh-rostralmiddlefrontal_2	#cc03af
152	ctx-lh-rostralmiddlefrontal_3	#29bf1c
153	ctx-lh-rostralmiddlefrontal_4	#c93cfb
154	ctx-lh-rostralmiddlefrontal_5	#470221
155	ctx-lh-rostralmiddlefrontal_6	#7b2872
156	ctx-lh-superiorfrontal_1	#f2d006
157	ctx-lh-superiorfrontal_2	#f47ad9
158	ctx-lh-superiorfrontal_3	#7d82be
159	ctx-lh-superiorfrontal_4	#286a31
160	ctx-lh-superiorfrontal_5	#5f945f
161	ctx-lh-superiorfrontal_6	#6929ab
162	ctx-lh-superiorfrontal_7	#0f6270
163	ctx-lh-superiorfrontal_8	#3b5a7d
164	ctx-lh-caudalmiddlefrontal_1	#03706c
165	ctx-lh-caudalmiddlefrontal_2	#adc84f
166	ctx-lh-caudalmiddlefrontal_3	#e96ece
167	ctx-lh-precentral_1	#c02a7a
168	ctx-lh-precentral_2	#1c3d8f
169	ctx-lh-precentral_3	#fd8654
170	ctx-lh-precentral_4	#51d41d
171	ctx-lh-precentral_5	#fa11c1
172	ctx-lh-precentral_6	#f3fde7
173	ctx-lh-paracentral_1	#b03650
174	ctx-lh-paracentral_2	#e592ae
175	ctx-lh-paracentral_3	#f148ce
176	ctx-lh-rostralanteriorcingulate_1	#e37028
177	ctx-lh-caudalanteriorcingulate_1	#8131d8
178	ctx-lh-posteriorcingulate_1	#06eceb
179	ctx-lh-posteriorcingulate_2	#6c5f26
180	ctx-lh-isthmuscingulate_1	#7b2cc2
181	ctx-lh-postcentral_1	#c98cdd
182	ctx-lh-postcentral_2	#cae6e0
183	ctx-lh-postcentral_3	#20d75a
184	ctx-lh-postcentral_4	#b27385
185	ctx-lh-postcentral_5	#beb580
186	ctx-lh-supramarginal_1	#ba39a4
187	ctx-lh-supramarginal_2	#4ddcae
188	ctx-lh-supramarginal_3	#0e6c1c
189	ctx-lh-supramarginal_4	#b7db76
190	ctx-lh-superiorparietal_1	#341a93
191	ctx-lh-superiorparietal_2	#b91781
192	ctx-lh-superiorparietal_3	#1b46fd
193	ctx-lh-superiorparietal_4	#08b604
194	ctx-lh-superiorparietal_5	#2fe8d8
195	ctx-lh-superiorparietal_6	#eac51a
196	ctx-lh-superiorparietal_7	#06b9c7
