index	name	color
127	7Networks_RH_SomMot_12	#0a15a3
128	7Networks_RH_SomMot_13	#71bd17
129	7Networks_RH_SomMot_14	#8a406b
130	7Networks_RH_SomMot_15	#5ca77f
131	7Networks_RH_SomMot_16	#37155d
132	7Networks_RH_SomMot_17	#93e09b
133	7Networks_RH_SomMot_18	#dd9c3f
134	7Networks_RH_SomMot_19	#214287
135	7Networks_RH_DorsAttn_Post_1	#9f9db8
136	7Networks_RH_DorsAttn_Post_2	#a7a29b
137	7Networks_RH_DorsAttn_Post_3	#42c98c
138	7Networks_RH_DorsAttn_Post_4	#c4c21e
139	7Networks_RH_DorsAttn_Post_5	#50bc85
140	7Networks_RH_DorsAttn_Post_6	#26e0c9
141	7Networks_RH_DorsAttn_Post_7	#d43dfb
142	7Networks_RH_DorsAttn_Post_8	#6f5b04
143	7Networks_RH_DorsAttn_Post_9	#90410f
144	7Networks_RH_DorsAttn_Post_10	#f2ea0e
145	7Networks_RH_DorsAttn_FEF_1	#670b25
146	7Networks_RH_DorsAttn_FEF_2	#1ea207
147	7Networks_RH_DorsAttn_PrCv_1	#789dcd
148	7Networks_RH_SalVentAttn_TempOccPar_1	#34cd2c
149	7Networks_RH_SalVentAttn_TempOccPar_2	#cc6566
150	7Networks_RH_SalVentAttn_TempOccPar_3	#5a6b6b
151	7Networks_RH_SalVentAttn_PrC_1	#8690e9
152	7Networks_RH_SalVentAttn_FrOperIns_1	#c0e2f4
153	7Networks_RH_SalVentAttn_FrOperIns_2	#12118d
154	7Networks_RH_SalVentAttn_FrOperIns_3	#699046
155	7Networks_RH_SalVentAttn_FrOperIns_4	#678870
156	7Networks_RH_SalVentAttn_Med_1	#1086f7
157	7Networks_RH_SalVentAttn_Med_2	#018151
158	7Networks_RH_SalVentAttn_Med_3	#7a847c
159	7Networks_RH_Limbic_OFC_1	#03f098
160	7Networks_RH_Limbic_OFC_2	#10f6f6
161	7Networks_RH_Limbic_OFC_3	#f87e59
162	7Networks_RH_Limbic_TempPole_1	#204f37
163	7Networks_RH_Limbic_TempPole_2	#5d2363
164	7Networks_RH_Limbic_TempPole_3	#071ba6
165	7Networks_RH_Cont_Par_1	#f3daf6
166	7Networks_RH_Cont_Par_2	#3c10ca
167	7Networks_RH_Cont_Par_3	#189235
168	7Networks_RH_Cont_Temp_1	#b9e081
169	7Networks_RH_Cont_PFCv_1	#df23ec
170	7Networks_RH_Cont_PFCl_1	#c35c1c
171	7Networks_RH_Cont_PFCl_2	#ed6444
172	7Networks_RH_Cont_PFCl_3	#bcd649
173	7Networks_RH_Cont_PFCl_4	#ced9e2
174	7Networks_RH_Cont_PFCl_5	#b8d082
175	7Networks_RH_Cont_PFCl_6	#241263
176	7Networks_RH_Cont_PFCl_7	#0c101f
177	7Networks_RH_Cont_pCun_1	#a10b23
178	7Networks_RH_Cont_Cing_1	#fb736d
179	7Networks_RH_Cont_Cing_2	#2ac456
180	7Networks_RH_Cont_PFCmp_1	#01d588
181	7Networks_RH_Cont_PFCmp_2	#df8019
182	7Networks_RH_Default_Par_1	#8e506e
183	7Networks_RH_Default_Par_2	#30bc23
184	7Networks_RH_Default_Par_3	#40b7ac
185	7Networks_RH_Default_Temp_1	#c2be66
186	7Networks_RH_Default_Temp_2	#796901
187	7Networks_RH_Default_Temp_3	#db1b6e
188	7Networks_RH_Default_Temp_4	#26153d
189	7Networks_RH_Default_Temp_5	#bcc7b1
190	7Networks_RH_Default_PFCv_1	#1ba334
191	7Networks_RH_Default_PFCdPFCm_1	#98081a
192	7Networks_RH_Default_PFCdPFCm_2	#005400
193	7Networks_RH_Default_PFCdPFCm_3	#0e0fb5
194	7Networks_RH_Default_PFCdPFCm_4	#9ef471
195	7Networks_RH_Default_PFCdPFCm_5	#9266b9
196	7Networks_RH_Default_PFCdPFCm_6	#8af945
197	7Networks_RH_Default_PFCdPFCm_7	#a5c339
198	7Networks_RH_Default_pCunPCC_1	#1d4d0c
199	7Networks_RH_Default_pCunPCC_2	#404a02
200	7Networks_RH_Default_pCunPCC_3	#22f55b
201	subc-rh-caudate	#67e872
202	subc-rh-putamen	#4a1e0e
203	subc-rh-pallidum_accumbens	#5bcbd2
204	thal-rh-pulvinar	#b03f6f
205	thal-rh-ventral-anterior	#cc1e8a
206	thal-rh-mediodorsal	#f309f5
207	thal-rh-lateral-posterior-ventral-posterior-group	#73e9b1
208	thal-rh-pulvinar-medial-centrolateral-group	#5e28e2
209	thal-rh-ventrolateral	#84309d
210	thal-rh-ventral-posterior-ventrolateral-group	#07eca4
211	amygd-rh	#4362ef
212	hipp-rh	#7eeaa1
213	hypo-rh-anterior-inferior	#8a530a
214	hypo-rh-anterior-superior	#a3e454
215	hypo-rh-posterior	#b568a3
216	hypo-rh-tubular-inferior	#d03aa4
217	hypo-rh-tubular-superior	#165d54
218	subc-lh-caudate	#564655
219	subc-lh-putamen	#75bfae
220	subc-lh-pallidum_accumbens	#6e15be
221	thal-lh-pulvinar	#6f7fe1
222	thal-lh-ventral-anterior	#28cf1b
223	thal-lh-mediodorsal	#938679
224	thal-lh-lateral-posterior-ventral-posterior-group	#ffe571
225	thal-lh-pulvinar-medial-centrolateral-group	#8278b8
226	thal-lh-ventrolateral	#ebb1ca
227	thal-lh-ventral-posterior-ventrolateral-group	#d0f2e6
228	amygd-lh	#558ce9
229	hipp-lh	#1d11ce
230	hypo-lh-anterior-inferior	#c38102
231	hypo-lh-anterior-superior	#88aa2a
232	hypo-lh-posterior	#c72a76
233	hypo-lh-tubular-inferior	#f53394
234	hypo-lh-tubular-superior	#1eadc7
235	brain-stem-midbrain	#c01c0b
236	brain-stem-pons	#de0924
237	brain-stem-medulla	#1deb97
238	brain-stem-scp	#417a28
2001	cer-Left I-IV	#b9cf63
2002	cer-Right I-IV	#06692c
2003	cer-Left V	#4c32ea
2004	cer-Right V	#099452
2005	cer-Left VI	#664f64
2006	cer-Vermis VI	#7abb38
2007	cer-Right VI	#9699db
2008	cer-Left Crus I	#e661c9
2009	cer-Vermis Crus I	#86f635
2010	cer-Right Crus I	#a93157
2011	cer-Left Crus II	#944a6a
2012	cer-Vermis Crus II	#86a243
2013	cer-Right Crus II	#a52d8c
2014	cer-Left VIIb	#57ce30
2015	cer-Vermis VIIb	#9f053e
2016	cer-Right VIIb	#7c0cdc
2017	cer-Left VIIIa	#aaf1bc
2018	cer-Vermis VIIIa	#1b60da
2019	cer-Right VIIIa	#3661b1
2020	cer-Left VIIIb	#463907
2021	cer-Vermis VIIIb	#83c3f6
2022	cer-Right VIIIb	#48aae5
2023	cer-Left IX	#997e0d
2024	cer-Vermis IX	#028702
2025	cer-Right IX	#d5af1a
2026	cer-Left X	#72b059
2027	cer-Vermis X	#3813d4
2028	cer-Right X	#f18857
